,date,Causality
0,2000-07-05,0.18518518518518517
1,2000-10-03,0.19204389574759945
2,2001-01-03,0.16872427983539096
3,2001-04-04,0.1673525377229081
4,2001-07-05,0.18244170096021947
5,2001-10-09,0.19478737997256515
6,2002-01-09,0.20438957475994513
7,2002-04-11,0.2908093278463649
8,2002-07-11,0.24691358024691357
9,2002-10-09,0.23731138545953362
10,2003-01-09,0.29766803840877915
11,2003-04-10,0.22770919067215364
12,2003-07-11,0.18106995884773663
13,2003-10-09,0.18655692729766804
14,2004-01-09,0.17832647462277093
15,2004-04-12,0.1646090534979424
16,2004-07-13,0.12757201646090535
17,2004-10-11,0.13854595336076816
18,2005-01-10,0.14540466392318244
19,2005-04-12,0.16049382716049382
20,2005-07-12,0.1700960219478738
21,2005-10-10,0.18655692729766804
22,2006-01-10,0.22908093278463648
23,2006-04-11,0.2194787379972565
24,2006-07-12,0.19753086419753085
25,2006-10-10,0.2194787379972565
26,2007-01-11,0.16323731138545952
27,2007-04-13,0.16186556927297668
28,2007-07-13,0.25377229080932784
29,2007-10-11,0.28532235939643347
30,2008-01-11,0.25651577503429357
31,2008-04-14,0.2839506172839506
32,2008-07-14,0.4883401920438957
33,2008-10-10,0.3635116598079561
34,2009-01-12,0.32647462277091904
35,2009-04-14,0.35665294924554186
36,2009-07-14,0.21536351165980797
37,2009-10-12,0.28532235939643347
38,2010-01-12,0.1056241426611797
39,2010-04-14,0.11248285322359397
40,2010-07-14,0.1056241426611797
41,2010-10-12,0.1262002743484225
42,2011-01-11,0.13580246913580246
43,2011-04-12,0.3333333333333333
44,2011-07-13,0.24142661179698216
45,2011-10-11,0.28669410150891633
46,2012-01-11,0.2578875171467764
47,2012-04-12,0.17421124828532236
48,2012-07-12,0.12482853223593965
49,2012-10-10,0.16186556927297668
50,2013-01-14,0.16323731138545952
51,2013-04-16,0.10013717421124829
52,2013-07-16,0.11385459533607682
53,2013-10-14,0.13031550068587106
54,2014-01-14,0.14814814814814814
55,2014-04-15,0.1700960219478738
56,2014-07-16,0.20164609053497942
57,2014-10-14,0.2085048010973937
58,2015-01-14,0.18381344307270234
59,2015-04-16,0.19753086419753085
60,2015-07-16,0.149519890260631
61,2015-10-14,0.17146776406035666
62,2016-01-14,0.16186556927297668
63,2016-04-15,0.25102880658436216
64,2016-07-15,0.262002743484225
65,2016-10-13,0.19890260631001372
66,2017-01-13,0.21262002743484226
67,2017-04-17,0.15912208504801098
68,2017-07-17,0.14266117969821673
69,2017-10-13,0.23319615912208505
70,2018-01-16,0.14266117969821673
71,2018-04-17,0.17146776406035666
72,2018-07-17,0.15363511659807957
73,2018-10-15,0.13717421124828533
74,2019-01-16,0.17421124828532236
75,2019-04-17,0.16049382716049382
76,2019-07-18,0.1550068587105624
77,2019-10-16,0.8847736625514403
78,2020-01-16,0.8189300411522634
79,2020-04-17,0.8299039780521262
80,2020-07-17,0.7654320987654321
81,2020-10-15,0.22770919067215364
82,2021-01-15,0.18381344307270234
83,2021-04-19,0.1934156378600823
84,2021-07-19,0.17832647462277093
85,2021-10-15,0.1755829903978052
86,2022-01-14,0.18792866941015088
